label,text
bullying,"you are so stupid and worthless"
bullying,"nobody likes you go away"
bullying,"you are ugly and pathetic"
bullying,"shut up loser nobody cares"
bullying,"everyone should laugh at you"
bullying,"you are dumb and useless"
bullying,"get lost you idiot"
bullying,"you do not belong here"
bullying,"your posts are trash and so are you"
bullying,"stop talking you annoying fool"
bullying,"i hate you and hope you fail"
bullying,"you are a joke and everyone knows it"
bullying,"go cry because nobody wants you here"
bullying,"you are disgusting"
bullying,"kill your confidence because you are nothing"
bullying,"we should all block this loser"
bullying,"you are too dumb to understand anything"
bullying,"what a pathetic person"
bullying,"you should be ashamed of yourself"
bullying,"no one will ever respect you"
non_bullying,"please stop sending hurtful messages"
non_bullying,"i disagree with your opinion but respect you"
non_bullying,"that comment was not kind"
non_bullying,"can we talk about this calmly"
non_bullying,"i hope you have a good day"
non_bullying,"thank you for sharing your thoughts"
non_bullying,"this post helped me understand the topic"
non_bullying,"let us support each other online"
non_bullying,"you made a small mistake but it is okay"
non_bullying,"i feel upset about what happened"
non_bullying,"please be careful with your words"
non_bullying,"we can solve this without insulting anyone"
non_bullying,"your idea is interesting"
non_bullying,"i do not agree but i will listen"
non_bullying,"that was a funny and friendly comment"
non_bullying,"you are welcome in this group"
non_bullying,"let us keep the chat positive"
non_bullying,"i appreciate your help"
non_bullying,"the message seems rude but not abusive"
non_bullying,"online safety is important for students"
